Including only topk=-1 tokens.
New outer iteration, current iterations=0
vers---;Pe_.	 (1224,5634,29936,15666,5396)
0
Using 20 examples.
0 trigger=vers---;Pe_. [reward] curr=2.19 best=2.19
1 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
2 trigger=Don---;Pe_. [reward] curr=1.98 best=1.98
3 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
4 trigger=Don---3Pe_. [reward] curr=1.84 best=1.84
5 trigger=Don---3Pe_. [reward] curr=1.93 best=1.84
133 trigger=en_.|/**loy [reward] curr=-6.95 best=-7.99
134 trigger=en_.|/**loy [reward] curr=-6.77 best=-7.99
135 trigger=en_.|/**loy [reward] curr=-6.98 best=-7.99
136 trigger=en_.|/**loy [reward] curr=1.22 best=-7.99
137 trigger=en_.|/**loy [reward] curr=-3.52 best=-7.99
138 trigger=en_.|/**loy [reward] curr=0.27 best=-7.99
139 trigger=en_.|/**loy [reward] curr=1.61 best=-7.99
[dets trigger] en_.|/**loy	 (427,5396,29989,7918,2376)
140 trigger=en_.|/**loy [reward] curr=-7.99 best=-7.99
141 trigger=en_.|/**loy [reward] curr=-6.77 best=-7.99
142 trigger=en_.|/**loy [reward] curr=-7.03 best=-7.99
